time,n_soil,p_soil,k_soil
01/12/22 14:19,0,0,0
01/12/22 14:17,0,0,0
01/12/22 14:15,0,0,0
01/12/22 14:13,0,0,0
01/12/22 14:11,0,0,0
01/12/22 14:10,0,0,0
01/12/22 14:07,0,0,0
01/12/22 14:05,0,0,0
01/12/22 14:03,0,0,0
01/12/22 14:01,0,0,0
01/12/22 13:59,0,0,0
01/12/22 13:57,0,0,0
01/12/22 13:56,0,0,0
01/12/22 13:53,0,0,0
01/12/22 13:51,0,0,0
01/12/22 13:50,0,0,0
01/12/22 13:47,0,0,0
01/12/22 13:45,0,0,0
01/12/22 13:44,0,0,0
01/12/22 13:41,0,0,0
01/12/22 13:39,0,0,0
01/12/22 13:38,0,0,0
01/12/22 13:35,0,0,0
01/12/22 13:33,0,0,0
01/12/22 13:31,0,0,0
01/12/22 13:29,0,0,0
01/12/22 13:27,0,0,0
01/12/22 13:25,0,0,0
01/12/22 13:23,0,0,0
01/12/22 13:21,0,0,0
01/12/22 13:19,0,0,0
01/12/22 13:17,0,0,0
01/12/22 13:15,0,0,0
01/12/22 13:13,0,0,0
01/12/22 13:11,0,0,0
01/12/22 13:09,0,0,0
01/12/22 13:08,0,0,0
01/12/22 13:05,0,0,0
01/12/22 13:03,0,0,0
01/12/22 13:01,0,0,0
01/12/22 12:59,0,0,0
01/12/22 12:57,0,0,0
01/12/22 12:55,0,0,0
01/12/22 12:54,0,0,0
01/12/22 12:51,0,0,0
01/12/22 12:49,0,0,0
01/12/22 12:48,0,0,0
01/12/22 12:45,0,0,0
01/12/22 12:43,0,0,0
01/12/22 12:42,0,0,0
01/12/22 12:39,0,0,0
01/12/22 12:37,0,0,0
01/12/22 12:36,0,0,0
01/12/22 12:33,0,0,0
01/12/22 12:31,0,0,0
01/12/22 12:29,0,0,0
01/12/22 12:27,0,0,0
01/12/22 12:25,0,0,0
01/12/22 12:23,0,0,0
01/12/22 12:21,0,0,0
01/12/22 12:19,0,0,0
01/12/22 12:17,0,0,0
01/12/22 12:15,0,0,0
01/12/22 12:14,0,0,0
01/12/22 12:11,0,0,0
01/12/22 12:09,0,0,0
01/12/22 12:08,0,0,0
01/12/22 12:05,0,0,0
01/12/22 12:03,0,0,0
01/12/22 12:02,0,0,0
01/12/22 11:59,0,0,0
01/12/22 11:57,0,0,0
01/12/22 11:55,0,0,0
01/12/22 11:53,0,0,0
01/12/22 11:51,0,0,0
01/12/22 11:49,0,0,0
01/12/22 11:47,0,0,0
01/12/22 11:45,0,0,0
01/12/22 11:43,0,0,0
01/12/22 11:41,0,0,0
01/12/22 11:40,0,0,0
01/12/22 11:37,0,0,0
01/12/22 11:35,0,0,0
01/12/22 11:34,0,0,0
01/12/22 11:31,0,0,0
01/12/22 11:29,0,0,0
01/12/22 11:27,0,0,0
01/12/22 11:25,0,0,0
01/12/22 11:23,0,0,0
01/12/22 11:21,0,0,0
01/12/22 11:19,0,0,0
01/12/22 11:17,0,0,0
01/12/22 11:15,0,0,0
01/12/22 11:13,0,0,0
01/12/22 11:12,0,0,0
01/12/22 11:09,0,0,0
01/12/22 11:07,0,0,0
01/12/22 11:06,0,0,0
01/12/22 11:03,0,0,0
01/12/22 11:01,0,0,0
01/12/22 10:59,0,0,0
01/12/22 10:57,0,0,0
01/12/22 10:55,0,0,0
01/12/22 10:53,0,0,0
01/12/22 10:51,0,0,0
01/12/22 10:49,0,0,0
01/12/22 10:47,0,0,0
01/12/22 10:45,0,0,0
01/12/22 10:44,0,0,0
01/12/22 10:41,0,0,0
01/12/22 10:39,0,0,0
01/12/22 10:38,0,0,0
01/12/22 10:35,0,0,0
01/12/22 10:33,0,0,0
01/12/22 10:32,0,0,0
01/12/22 10:29,0,0,0
01/12/22 10:27,0,0,0
01/12/22 10:26,0,0,0
01/12/22 10:23,0,0,0
01/12/22 10:21,0,0,0
23/09/22 14:46,0,0,0
23/09/22 14:41,0,0,0
23/09/22 14:39,0,0,0
23/09/22 14:37,0,0,0
23/09/22 14:35,0,0,0
23/09/22 14:33,0,0,0
23/09/22 14:31,0,0,0
23/09/22 14:29,0,0,0
23/09/22 14:27,0,0,0
23/09/22 14:25,0,0,0
23/09/22 14:23,0,0,0
23/09/22 14:21,0,0,0
23/09/22 14:19,0,0,0
23/09/22 14:17,0,0,0
23/09/22 14:15,0,0,0
23/09/22 14:13,0,0,0
23/09/22 14:11,0,0,0
23/09/22 14:10,0,0,0
23/09/22 12:49,0,0,0
23/09/22 12:47,0,0,0
23/09/22 12:45,0,0,0
23/09/22 12:43,0,0,0
23/09/22 12:41,0,0,0
23/09/22 12:39,0,0,0
23/09/22 12:37,0,0,0
23/09/22 12:35,0,0,0
23/09/22 12:33,0,0,0
23/09/22 12:31,0,0,0
23/09/22 12:30,0,0,0
23/09/22 12:27,0,0,0
23/09/22 12:25,0,0,0
23/09/22 12:23,0,0,0
23/09/22 12:21,0,0,0
23/09/22 12:19,0,0,0
23/09/22 12:17,0,0,0
